timestamp	id	value
38002661	tpc.bat_v_avgd	15.284302466666665
38002661	fc.state	6
38002661	fc.alt	26665.5625
38502707	gs.rssi	-85
38502707	comms.recd	6680
38502707	tpc.state	0
38502707	fc.pwr	1
38502707	tpc.gps
38502707	tpc.bat_v	15.266248
38502707	tpc.bat_v_avgd	15.284463666666664
38502707	fc.state	7
38502707	fc.alt	26666.390625
39002724	gs.rssi	-81
39002724	comms.recd	6800
39002724	tpc.state	0
39002724	fc.pwr	1
39002724	tpc.gps
39002724	tpc.bat_v	15.348461
39002724	tpc.bat_v_avgd	15.286398099999996
39002724	fc.state	7
39002724	fc.alt	26670.28125
39502761	gs.rssi	-82
39502761	comms.recd	6920
39502761	tpc.state	0
39502761	fc.pwr	1
39502761	tpc.gps
39502761	tpc.bat_v	15.213051
39502761	tpc.bat_v_avgd	15.284624866666665
39502761	fc.state	7
39502761	fc.alt	26670.28125
40002796	gs.rssi	-81
40002796	comms.recd	7040
40002796	tpc.state	0
40002796	fc.pwr	1
40002796	tpc.gps
40002796	tpc.bat_v	15.285592
40002796	tpc.bat_v_avgd	15.283657633333329
40002796	fc.state	7
40002796	fc.alt	26667.40625
40502849	gs.rssi	-81
40502849	comms.recd	7160
40502849	tpc.state	0
40502849	fc.pwr	1
40502849	tpc.gps
40502849	tpc.bat_v	15.271084
40502849	tpc.bat_v_avgd	15.28333523333333
40502849	fc.state	7
40502849	fc.alt	26669.46875
41004532	gs.rssi	-81
41004532	comms.recd	7280
41004532	tpc.state	0
41004532	fc.pwr	1
41004532	tpc.gps
41004532	tpc.bat_v	15.271084
41004532	tpc.bat_v_avgd	15.28398003333333
41004532	fc.state	7
41004532	fc.alt	26664.140625
41504572	gs.rssi	-83
41504572	comms.recd	7400
41504572	tpc.state	0
41504572	fc.pwr	1
41504572	tpc.gps
41504572	tpc.bat_v	15.285592
41504572	tpc.bat_v_avgd	15.28140083333333
41504572	fc.state	7
41504572	fc.alt	26658.1875
42004613	gs.rssi	-83
42004613	comms.recd	7520
42004613	tpc.state	0
42004613	fc.pwr	1
42004613	tpc.gps
42004613	tpc.bat_v	15.285592
42004613	tpc.bat_v_avgd	15.282206833333332
42004613	fc.state	7
42004613	fc.alt	26665.984375
42504670	gs.rssi	-84
42504670	comms.recd	7640
42504670	tpc.state	0
42504670	fc.pwr	1
42504670	tpc.gps
42504670	tpc.bat_v	15.266248
42504670	tpc.bat_v_avgd	15.281562033333332
42504670	fc.state	7
42504670	fc.alt	26666.390625
43004670	gs.rssi	-80
43004670	comms.recd	7760
43004670	tpc.state	0
43004670	fc.pwr	1
43004670	tpc.gps
43004670	tpc.bat_v	15.246903
43004670	tpc.bat_v_avgd	15.28317403333333
43004670	fc.state	7
43004670	fc.alt	26665.984375
43504699	gs.rssi	-81
43504699	comms.recd	7880
43504699	tpc.state	0
43504699	fc.pwr	1
43504699	tpc.gps
43504699	tpc.bat_v	15.295264
43504699	tpc.bat_v_avgd	15.28333523333333
43504699	fc.state	7
43504699	fc.alt	26664.140625
44004761	gs.rssi	-82
44004761	comms.recd	8000
44004761	tpc.state	0
44004761	fc.pwr	1
44004761	tpc.gps
44004761	tpc.bat_v	15.285592
44004761	tpc.bat_v_avgd	15.283496433333331
44004761	fc.state	7
44004761	fc.alt	-188336.484375
44504789	gs.rssi	-82
44504789	comms.recd	8120
44504789	tpc.state	0
44504789	fc.pwr	1
44504789	tpc.gps
44504789	tpc.bat_v	15.319445
44504789	tpc.bat_v_avgd	15.285108466666664
44504789	fc.state	7
44504789	fc.alt	26663.3125
45004837	gs.rssi	-83
45004837	comms.recd	8240
45004837	tpc.state	0
45004837	fc.pwr	1
45004837	tpc.gps
45004837	tpc.bat_v	15.324281
45004837	tpc.bat_v_avgd	15.286236899999997
45004837	fc.state	7
45004837	fc.alt	-188340.59375
45505002	gs.rssi	-82
45505002	comms.recd	8360
45505002	tpc.state	0
45505002	fc.pwr	1
45505002	tpc.gps
45505002	tpc.bat_v	15.27592
45505002	tpc.bat_v_avgd	15.285430899999996
45505002	fc.state	7
45505002	fc.alt	26659.828125
46005051	gs.rssi	-82
46005051	comms.recd	8480
46005051	tpc.state	0
46005051	fc.pwr	1
46005051	tpc.gps
46005051	tpc.bat_v	15.285592
46005051	tpc.bat_v_avgd	15.285269699999995
46005051	fc.state	7
46005051	fc.alt	26665.359375
46505109	gs.rssi	-82
46505109	comms.recd	8600
46505109	tpc.state	0
46505109	fc.pwr	1
46505109	tpc.gps
46505109	tpc.bat_v	15.285592
46505109	tpc.bat_v_avgd	15.286075699999996
46505109	fc.state	7
46505109	fc.alt	26665.359375
47005114	gs.rssi	-84
47005114	comms.recd	8720
47005114	tpc.state	0
47005114	fc.pwr	1
47005114	tpc.gps
47005114	tpc.bat_v	15.266248
47005114	tpc.bat_v_avgd	15.286075699999998
47005114	fc.state	7
47005114	fc.alt	26658.796875
47505152	gs.rssi	-82
47505152	comms.recd	8840
47505152	tpc.state	0
47505152	fc.pwr	1
47505152	tpc.gps
47505152	tpc.bat_v	15.295264
47505152	tpc.bat_v_avgd	15.2867205
47505152	fc.state	7
47505152	fc.alt	26661.0625
48005214	gs.rssi	-81
48005214	comms.recd	8960
48005214	tpc.state	0
48005214	fc.pwr	1
48005214	tpc.gps
48005214	tpc.bat_v	15.222723
48005214	tpc.bat_v_avgd	15.284463666666664
48005214	fc.state	7
48005214	fc.alt	26667.828125
48505271	gs.rssi	-81
48505271	comms.recd	9080
48505271	tpc.state	0
48505271	fc.pwr	1
48505271	tpc.gps
48505271	tpc.bat_v	15.285592
48505271	tpc.bat_v_avgd	15.285269666666665
48505271	fc.state	7
48505271	fc.alt	26671.515625
49005330	gs.rssi	-82
49005330	comms.recd	9200
49005330	tpc.state	0
49005330	fc.pwr	1
49005330	tpc.gps
49005330	tpc.bat_v	15.285592
49005330	tpc.bat_v_avgd	15.285592066666664
49005330	fc.state	7
49005330	fc.alt	26664.140625
49505332	gs.rssi	-87
49505332	comms.recd	9320
49505332	tpc.state	0
49505332	fc.pwr	1
49505332	tpc.gps
49505332	tpc.bat_v	15.304936
49505332	tpc.bat_v_avgd	15.287204066666666
49505332	fc.state	7
49505332	fc.alt	26669.671875
50006157	gs.rssi	-86
50006157	comms.recd	9440
50006157	tpc.state	0
50006157	fc.pwr	1
50006157	tpc.gps
50006157	tpc.bat_v	15.309772
50006157	tpc.bat_v_avgd	15.286559233333332
50006157	fc.state	7
50006157	fc.alt	-188332.1875
50506165	gs.rssi	-86
50506165	comms.recd	9560
50506165	tpc.state	0
50506165	fc.pwr	1
50506165	tpc.gps
50506165	tpc.bat_v	15.290428
50506165	tpc.bat_v_avgd	15.286881633333333
50506165	fc.state	7
50506165	fc.alt	-188337.109375
51006208	gs.rssi	-86
51006208	comms.recd	9680
51006208	tpc.state	0
51006208	fc.pwr	1
51006208	tpc.gps
51006208	tpc.bat_v	15.290428
51006208	tpc.bat_v_avgd	15.286881633333333
51006208	fc.state	7
51006208	fc.alt	-188340.59375
51506208	gs.rssi	-85
51506208	comms.recd	9800
51506208	tpc.state	0
51506208	fc.pwr	1
51506208	tpc.gps
51506208	tpc.bat_v	15.25174
51506208	tpc.bat_v_avgd	15.285108433333335
51506208	fc.state	7
51506208	fc.alt	-188340.1875
52006227	gs.rssi	-82
52006227	comms.recd	9920
52006227	tpc.state	0
52006227	fc.pwr	1
52006227	tpc.gps
52006227	tpc.bat_v	15.271084
52006227	tpc.bat_v_avgd	15.284141233333333
52006227	fc.state	7
52006227	fc.alt	26669.875
52506228	gs.rssi	-81
52506228	comms.recd	10040
52506228	tpc.state	0
52506228	fc.pwr	1
52506228	tpc.gps
52506228	tpc.bat_v	15.304936
52506228	tpc.bat_v_avgd	15.284463633333333
52506228	fc.state	7
52506228	fc.alt	-188341
53006248	gs.rssi	-80
53006248	comms.recd	10160
53006248	tpc.state	0
53006248	fc.pwr	1
53006248	tpc.gps
53006248	tpc.bat_v	15.329117
53006248	tpc.bat_v_avgd	15.283980033333332
53006248	fc.state	7
53006248	fc.alt	-188338.953125
53506255	gs.rssi	-82
53506255	comms.recd	10280
53506255	tpc.state	0
53506255	fc.pwr	1
53506255	tpc.gps
53506255	tpc.bat_v	15.266248
53506255	tpc.bat_v_avgd	15.283980033333334
53506255	fc.state	7
53506255	fc.alt	26659.421875
54006288	gs.rssi	-85
54006288	comms.recd	10400
54006288	tpc.state	0
54006288	fc.pwr	1
54006288	tpc.gps
54006288	tpc.bat_v	15.27592
54006288	tpc.bat_v_avgd	15.281562000000001
54006288	fc.state	7
54006288	fc.alt	26669.46875
54506342	gs.rssi	-81
54506342	comms.recd	10520
54506342	tpc.state	0
54506342	fc.pwr	1
54506342	tpc.gps
54506342	tpc.bat_v	15.285592
54506342	tpc.bat_v_avgd	15.283980033333334
54506342	fc.state	7
54506342	fc.alt	-188339.359375
55006355	gs.rssi	-81
55006355	comms.recd	10640
55006355	tpc.state	0
55006355	fc.pwr	1
55006355	tpc.gps
55006355	tpc.bat_v	15.280756
55006355	tpc.bat_v_avgd	15.283818833333333
55006355	fc.state	7
55006355	fc.alt	-188339.96875
55506379	gs.rssi	-82
55506379	comms.recd	10760
55506379	tpc.state	0
55506379	fc.pwr	1
55506379	tpc.gps
55506379	tpc.bat_v	15.271084
55506379	tpc.bat_v_avgd	15.283818833333331
55506379	fc.state	7
55506379	fc.alt	26670.6875
56006418	gs.rssi	-82
56006418	comms.recd	10880
56006418	tpc.state	0
56006418	fc.pwr	1
56006418	tpc.gps
56006418	tpc.bat_v	15.179198
56006418	tpc.bat_v_avgd	15.280755966666668
56006418	fc.state	7
56006418	fc.alt	26664.34375
56506476	gs.rssi	-84
56506476	comms.recd	11000
56506476	tpc.state	0
